MemberNo,TransactionDate,Comments, Amount ,,,,,
778,24/04/2018,Winter Clothes & Phone," 3,619.66 ",,,,,
1694,23/04/2018,School Fees 2018," 9,090.00 ",,,,,
1693,23/04/2018,School Fees 2018," 9,090.00 ",,,,,
1692,23/04/2018,School Fees 2018," 6,940.00 ",,,,,
741,18/04/2018,Hospital Fees, 300.00 ,,,,,
710,18/04/2018,Taxi & Hospital Fees, 560.00 ,,,,,
1601,18/04/2018,Exam Fees Plus Invigilation Fee," 3,690.00 ",,,,,
1598,18/04/2018,2nd & 3rd Tem Fees @E4960/Term," 9,920.00 ",,,,,
886,17/04/2018,Transport Fare," 2,600.00 ",,,,,
844,17/04/2018,Transport Fare," 2,600.00 ",,,,,
860,17/04/2018,Transport Fare," 2,600.00 ",,,,,
1673,17/04/2018,Transport Fare," 1,000.00 ",,,,,
1562,16/04/2018,Sustenance Alloowance," 1,000.00 ",,,,,
952,10/04/2018,Educational Tour," 3,300.00 ",,,,,
1666,10/04/2018,Transport & Fees, 822.00 ,,,,,
1665,10/04/2018,School Fees," 1,655.00 ",,,,,
1675,04/04/2018,Transport Fare, 300.00 ,,,,,
1674,04/04/2018,Transport Fare, 600.00 ,,,,,
1669,04/04/2018,"Cosmetics, Food, Medical Expenses"," 4,095.35 ",,,,,
778,03/04/2018,Premises Rental, 520.00 ,,,,,
741,28/03/2018,Water Tank Purchase," 1,349.62 ",,,,,
736,28/03/2018,Water Tank Purchase," 1,349.62 ",,,,,
710,28/03/2018,Water Tank Purchase," 1,349.62 ",,,,,
1051,28/03/2018,Uniform, 410.00 ,,,,,
1597,28/03/2018,Application Fee, 600.00 ,,,,,
1699,27/03/2018,Uniform," 1,112.99 ",,,,,
1698,27/03/2018,Uniform," 1,279.95 ",,,,,
1686,27/03/2018,Study Papers, 750.00 ,,,,,
1426,23/03/2018,Sustanance Allowance, 805.00 ,,,,,
21,21/03/2018,Medical Expenses, 500.00 ,,,,,
1648,20/03/2018,Sustanance Allowance, 500.00 ,,,,,
1431,19/03/2018,Upgrading Classes," 1,277.38 ",,,,,
1447,19/03/2018,Uniforms & Lunch," 2,170.00 ",,,,,
1679,14/03/2018,Transport, 450.00 ,,,,,
1529,13/03/2018,Uniform," 1,459.88 ",,,,,
1586,13/03/2018,Salon Course," 2,600.00 ",,,,,
1593,09/03/2018,Track Suit, 385.00 ,,,,,
1592,09/03/2018,Toiletry, 415.00 ,,,,,
1591,09/03/2018,School Related Items, 553.00 ,,,,,
1584,09/03/2018,Uniform & Transport," 1,160.00 ",,,,,
588,08/03/2018,Exam Fees," 1,000.00 ",,,,,
1685,06/03/2018,Transport, 400.00 ,,,,,
1675,06/03/2018,Transport, 600.00 ,,,,,
1674,06/03/2018,Exam Fee & Transport," 1,954.00 ",,,,,
1561,06/03/2018,Uniform & Chest of drawers," 2,168.70 ",,,,,
1573,01/03/2018,Lunch," 1,910.00 ",,,,,
778,01/03/2018,Rent, 520.00 ,,,,,
1686,01/03/2018,Sustanance Allowance, 300.00 ,,,,,
1685,01/03/2018,Sustanance Allowance, 300.00 ,,,,,
1719,01/03/2018,Uniform & Clothing," 3,168.00 ",,,,,
1299,01/03/2018,Sports Track Purchase, 500.00 ,,,,,
1030,28/02/2018,Uniform," 3,500.00 ",,,,,
1513,27/02/2018,School Fees & Transport," 12,375.00 ",,,,,
232,27/02/2018,"Bag, Transport & Trip Expenses"," 1,150.00 ",,,,,
1360,26/02/2018,Lunch & Transport, 750.00 ,,,,,
1344,26/02/2018,Lunch & Transport, 800.00 ,,,,,
1426,26/02/2018,Transport & Sleeping mattress," 1,062.94 ",,,,,
