MemberNo,TransactionDate,Comments, Amount ,,,,,
1562,05/10/2017,Sustenance Allowance," 1,000.00 ",,,,,
1624,05/10/2017,School Related Requirements, 899.00 ,,,,,
1625,05/10/2017,School Related Requirements, 899.00 ,,,,,
1621,05/10/2017,School Related Needs, 919.99 ,,,,,
1626,05/10/2017,School Requirements," 5,049.92 ",,,,,
171,02/10/2017,School Related Items, 799.98 ,,,,,
166,02/10/2017,School Related Items, 655.98 ,,,,,
124,02/10/2017,School Related Items, 509.99 ,,,,,
886,02/10/2017,Rainjacket, 89.99 ,,,,,
870,02/10/2017,Rainjacket, 89.99 ,,,,,
860,02/10/2017,Rainjacket, 89.99 ,,,,,
844,02/10/2017,Rainjacket, 89.99 ,,,,,
1644,25/09/2017,Water & Electricity, 708.65 ,,,,,
1072,21/09/2017,School Fees," 1,000.00 ",,,,,
680,20/09/2017,Past Exam Papers," 1,124.55 ",,,,,
670,20/09/2017,Past Exam Papers," 1,124.55 ",,,,,
1656,20/09/2017,Bus Fare," 1,000.00 ",,,,,
1615,20/09/2017,Grade 1 Deposit, 500.00 ,,,,,
187,20/09/2017,"Rent, Food & Clthes"," 3,470.00 ",,,,,
1653,20/09/2017,Full withdrawal of Benefits," 3,804.04 ",,,,,
1566,20/09/2017,School Related Expenses," 8,275.00 ",,,,,
741,15/09/2017,Refrigerator," 1,679.34 ",,,,,
736,15/09/2017,Refrigerator," 1,679.33 ",,,,,
710,15/09/2017,Refrigerator," 1,679.33 ",,,,,
696,13/09/2017,Past Exam Papers, 595.00 ,,,,,
1636,13/09/2017,School Related Expenses, 230.00 ,,,,,
1637,13/09/2017,School Related Expenses, 900.00 ,,,,,
1656,13/09/2017,Driving School Fees," 5,000.00 ",,,,,
1655,13/09/2017,Fees & Uniform, 908.98 ,,,,,
1004,11/09/2017,Third Term School Requisites, 702.00 ,,,,,
1513,08/09/2017,"Fees, Transport & Sports Fee"," 10,300.00 ",,,,,
1534,08/09/2017,Lunch Box, 650.00 ,,,,,
1529,08/09/2017,Transport Expenses," 1,300.00 ",,,,,
1604,07/09/2017,Lunch Box, 600.00 ,,,,,
1604,07/09/2017,Lunch Box, 500.00 ,,,,,
1584,07/09/2017,School Fees & Transport," 1,565.00 ",,,,,
192,07/09/2017,"Transport, Shoes & Toiletries"," 2,000.00 ",,,,,
1640,07/09/2017,Food & Transport," 1,100.00 ",,,,,
1639,07/09/2017,Food & Transport," 1,100.00 ",,,,,
1641,07/09/2017,School Fees," 3,745.60 ",,,,,
778,07/09/2017,Winter Clothes," 3,572.58 ",,,,,
1262,07/09/2017,Bus Fare for third term," 1,056.00 ",,,,,
1596,05/09/2017,Second Term Fees," 3,400.00 ",,,,,
1615,05/09/2017,Various Items," 6,875.82 ",,,,,
1670,01/09/2017,University Registration Fee," 15,461.30 ",,,,,
1571,31/08/2017,School Space Reservation & Clothes," 4,500.00 ",,,,,
1489,31/08/2017,Bus Fare & Pocket Money," 1,280.00 ",,,,,
973,28/08/2017,Uniform Purchase," 1,429.99 ",,,,,
187,28/08/2017,Food and Rent," 1,070.00 ",,,,,
1601,24/08/2017,Electricity Installation," 2,500.00 ",,,,,
1600,24/08/2017,Electricity Installation," 2,500.00 ",,,,,
1599,24/08/2017,Electricity Installation," 2,500.00 ",,,,,
1598,24/08/2017,Missed Clothes/Data Transaction 21/11/2022," 2,500.00 ",,,,,
1644,23/08/2017,Water & Electricity Payment, 708.65 ,,,,,
567,22/08/2017,Lunch Box & Transport Allowance," 2,244.00 ",,,,,
757,21/08/2017,Lungile Mthembu Tuition," 2,700.00 ",,,,,
1339,17/08/2017,School Fees," 3,300.00 ",,,,,
1626,17/08/2017,Farewell Trip," 1,000.00 ",,,,,
1658,11/08/2017,School Fees & Uniform," 2,508.00 ",,,,,
1562,10/08/2017,College basic Needs," 3,000.00 ",,,,,
989,10/08/2017,School Fees & Uniform," 2,530.00 ",,,,,
1644,08/08/2017,Water Bill, 633.65 ,,,,,
1590,03/08/2017,School Related Requirements," 2,000.00 ",,,,,
1575,02/08/2017,Local Trip, 180.00 ,,,,,
1576,02/08/2017,Local Trip, 220.00 ,,,,,
680,02/08/2017,Agric Trip, 350.00 ,,,,,
670,02/08/2017,Agric Trip, 350.00 ,,,,,
187,27/07/2017,Sustenance Allowance," 2,000.00 ",,,,,
1615,26/07/2017,Electricity Installation," 5,989.00 ",,,,,
340,26/07/2017,School Fees," 1,500.00 ",,,,,
1576,26/07/2017,Sustenance," 1,225.00 ",,,,,
1575,26/07/2017,Sustenance," 1,225.00 ",,,,,
1574,26/07/2017,Sustenance," 1,225.00 ",,,,,
1573,26/07/2017,Sustenance," 1,225.00 ",,,,,
42,21/07/2017,"Shoes, Bag & Trip"," 1,000.00 ",,,,,
1615,21/07/2017,Electricity Installation," 8,722.15 ",,,,,
530,21/07/2017,Sustenance," 3,000.00 ",,,,,
490,21/07/2017,Sustenance," 3,000.00 ",,,,,
16,18/07/2017,Medical Related Requests, 200.00 ,,,,,
1426,18/07/2017,Various School Related Requests," 1,600.91 ",,,,,
1605,11/07/2017,Educational Tour," 1,000.00 ",,,,,
1604,11/07/2017,Educational Tour, 800.00 ,,,,,
1584,11/07/2017,Durban Educational Tour," 3,366.30 ",,,,,
633,11/07/2017,Educational Tour," 1,981.00 ",,,,,
1615,07/07/2017,Educational Tour & Pocket Money," 3,350.00 ",,,,,
839,06/07/2017,Ad hoc Payment Request," 1,510.00 ",,,,,
778,04/07/2017,Winter Clothes," 5,729.99 ",,,,,
21,04/07/2017,Jersey & Belt, 111.98 ,,,,,
16,04/07/2017,Medical expenses, 871.98 ,,,,,
839,04/07/2017,Correcting error viz Nhlanhla Mlandvo Dlamini," 1,510.00 ",,,,,
